,NVDA,,,,,,,,,,,,,,,,
,Closing Price,Volume,,,,,,,,,,,,,,,
5/21/2019 16:00,155.06,9046247,,,,,,,,,,,,,,,
5/22/2019 16:00,152.2,8146740,,,,,,,,,,,,,,,
5/23/2019 16:00,147.32,14796109,,,,,,,,,,,,,,,
5/24/2019 16:00,145.15,8939632,,,,,,,,,,,,,,,
5/28/2019 16:00,143.33,10708852,,,,,,,,,,,,,,,
5/29/2019 16:00,140.34,13995037,,,,,,,,,,,,,,,
5/30/2019 16:00,139.11,9857490,,,,,,,,,,,,,,,
5/31/2019 16:00,135.46,9742992,,,,,,,,,,,,,,,
6/3/2019 16:00,133.78,11966080,,,,,,,,,,,,,,,
6/4/2019 16:00,143,16045885,,,,,,,,,,,,,,,
6/5/2019 16:00,141.28,12790385,,,,,,,,,,,,,,,
6/6/2019 16:00,143.78,10203462,,,,,,,,,,,,,,,
6/7/2019 16:00,145.5,8721438,,,,,,,,,,,,,,,
6/10/2019 16:00,148.43,10069522,,,,,,,,,,,,,,,
6/11/2019 16:00,150.75,9596751,,,,,,,,,,,,,,,
6/12/2019 16:00,146.2,8972298,,,,,,,,,,,,,,,
6/13/2019 16:00,148.26,7702027,,,,,,,,,,,,,,,
6/14/2019 16:00,144.64,9860656,,,,,,,,,,,,,,,
6/17/2019 16:00,145.03,6901037,,,,,,,,,,,,,,,
6/18/2019 16:00,152.88,14547950,,,,,,,,,,,,,,,
6/19/2019 16:00,153.12,8291099,,,,,,,,,,,,,,,
6/20/2019 16:00,154.1,8754182,,,,,,,,,,,,,,,
6/21/2019 16:00,151.76,10860672,,,,,,,,,,,,,,,
6/24/2019 16:00,152.66,7073718,,,,,,,,,,,,,,,
6/25/2019 16:00,151.48,7796661,,,,,,,,,,,,,,,
6/26/2019 16:00,159.26,14601825,,,,,,,,,,,,,,,
6/27/2019 16:00,163.23,11136038,,,,,,,,,,,,,,,
6/28/2019 16:00,164.23,9941659,,,,,,,,,,,,,,,
7/1/2019 16:00,166.17,17788327,,,,,,,,,,,,,,,
7/2/2019 16:00,162.23,10005688,,,,,,,,,,,,,,,
7/3/2019 13:00,162.75,6165856,,,,,,,,,,,,,,,
7/5/2019 16:00,160.23,9913847,,,,,,,,,,,,,,,
7/8/2019 16:00,157.21,8244669,,,,,,,,,,,,,,,
7/9/2019 16:00,157.31,8571512,,,,,,,,,,,,,,,
7/10/2019 16:00,160.06,11301899,,,,,,,,,,,,,,,
7/11/2019 16:00,166.28,17063964,,,,,,,,,,,,,,,
7/12/2019 16:00,167.61,12659816,,,,,,,,,,,,,,,
7/15/2019 16:00,167.27,7245993,,,,,,,,,,,,,,,
7/16/2019 16:00,167.08,8536098,,,,,,,,,,,,,,,
7/17/2019 16:00,169.71,8705107,,,,,,,,,,,,,,,
7/18/2019 16:00,170.18,11079474,,,,,,,,,,,,,,,
7/19/2019 16:00,168.44,8622395,,,,,,,,,,,,,,,
7/22/2019 16:00,171.32,7898498,,,,,,,,,,,,,,,
7/23/2019 16:00,175.66,10704414,,,,,,,,,,,,,,,
7/24/2019 16:00,178.66,9155937,,,,,,,,,,,,,,,
7/25/2019 16:00,173.38,9817453,,,,,,,,,,,,,,,
7/26/2019 16:00,175.07,6853997,,,,,,,,,,,,,,,
7/29/2019 16:00,174.82,6204049,,,,,,,,,,,,,,,
7/30/2019 16:00,175.45,4944261,,,,,,,,,,,,,,,
7/31/2019 16:00,168.72,8985391,,,,,,,,,,,,,,,
8/1/2019 16:00,164.92,10530314,,,,,,,,,,,,,,,
8/2/2019 16:00,161.19,10708732,,,,,,,,,,,,,,,
8/5/2019 16:00,150.79,14728936,,,,,,,,,,,,,,,
8/6/2019 16:00,152.35,9031767,,,,,,,,,,,,,,,
8/7/2019 16:00,153.89,9314045,,,,,,,,,,,,,,,
8/8/2019 16:00,158.26,7732472,,,,,,,,,,,,,,,
8/9/2019 16:00,154.18,8545418,,,,,,,,,,,,,,,
8/12/2019 16:00,151.45,6980012,,,,,,,,,,,,,,,
8/13/2019 16:00,156.05,9012811,,,,,,,,,,,,,,,
8/14/2019 16:00,150.07,10497033,,,,,,,,,,,,,,,
8/15/2019 16:00,148.77,13861551,,,,,,,,,,,,,,,
8/16/2019 16:00,159.56,25384628,,,,,,,,,,,,,,,
8/19/2019 16:00,170.78,20408061,,,,,,,,,,,,,,,
8/20/2019 16:00,167.87,11588040,,,,,,,,,,,,,,,
8/21/2019 16:00,171.23,10697773,,,,,,,,,,,,,,,
8/22/2019 16:00,171.48,7593918,,,,,,,,,,,,,,,
8/23/2019 16:00,162.44,14237433,,,,,,,,,,,,,,,
8/26/2019 16:00,165.45,7964854,,,,,,,,,,,,,,,
8/27/2019 16:00,161.8,7288739,,,,,,,,,,,,,,,
8/28/2019 16:00,161.22,6395703,,,,,,,,,,,,,,,
8/29/2019 16:00,167,8959326,,,,,,,,,,,,,,,
8/30/2019 16:00,167.51,7272712,,,,,,,,,,,,,,,
9/3/2019 16:00,164.17,7412770,,,,,,,,,,,,,,,
9/4/2019 16:00,168.76,5703009,,,,,,,,,,,,,,,
9/5/2019 16:00,179.74,17412125,,,,,,,,,,,,,,,
9/6/2019 16:00,178.65,9424419,,,,,,,,,,,,,,,
9/9/2019 16:00,180.5,10438133,,,,,,,,,,,,,,,
9/10/2019 16:00,183.18,8820305,,,,,,,,,,,,,,,
9/11/2019 16:00,184.33,9037782,,,,,,,,,,,,,,,
9/12/2019 16:00,184.27,8196025,,,,,,,,,,,,,,,
9/13/2019 16:00,181.94,8114787,,,,,,,,,,,,,,,
9/16/2019 16:00,180.21,5795796,,,,,,,,,,,,,,,
9/17/2019 16:00,181.07,5711828,,,,,,,,,,,,,,,
9/18/2019 16:00,179.98,6600942,,,,,,,,,,,,,,,
9/19/2019 16:00,176.94,6408569,,,,,,,,,,,,,,,
9/20/2019 16:00,172.69,8931295,,,,,,,,,,,,,,,
9/23/2019 16:00,174.84,6395647,,,,,,,,,,,,,,,
9/24/2019 16:00,172.53,8031045,,,,,,,,,,,,,,,
9/25/2019 16:00,178.23,7827672,,,,,,,,,,,,,,,
9/26/2019 16:00,177.34,5945648,,,,,,,,,,,,,,,
9/27/2019 16:00,171.76,9148974,,,,,,,,,,,,,,,
9/30/2019 16:00,174.07,4829977,,,,,,,,,,,,,,,
10/1/2019 16:00,174,9189150,,,,,,,,,,,,,,,
10/2/2019 16:00,173.04,7391544,,,,,,,,,,,,,,,
10/3/2019 16:00,181.31,11568265,,,,,,,,,,,,,,,
10/4/2019 16:00,181.97,6699005,,,,,,,,,,,,,,,
10/7/2019 16:00,184.33,12207839,,,,,,,,,,,,,,,
10/8/2019 16:00,177.23,11233566,,,,,,,,,,,,,,,
10/9/2019 16:00,180.71,7697082,,,,,,,,,,,,,,,
10/10/2019 16:00,183.03,8187889,,,,,,,,,,,,,,,
10/11/2019 16:00,185.99,11271668,,,,,,,,,,,,,,,
10/14/2019 16:00,186.53,5258394,,,,,,,,,,,,,,,
10/15/2019 16:00,196.37,16699633,,,,,,,,,,,,,,,
10/16/2019 16:00,194.21,10818828,,,,,,,,,,,,,,,
10/17/2019 16:00,194.29,6607924,,,,,,,,,,,,,,,
10/18/2019 16:00,190.49,7690605,,,,,,,,,,,,,,,
10/21/2019 16:00,196.01,6674181,,,,,,,,,,,,,,,
10/22/2019 16:00,195.61,8434228,,,,,,,,,,,,,,,
10/23/2019 16:00,195.09,7144250,,,,,,,,,,,,,,,
10/24/2019 16:00,196.86,5975933,,,,,,,,,,,,,,,
10/25/2019 16:00,204.54,10577288,,,,,,,,,,,,,,,
10/28/2019 16:00,206.79,8269791,,,,,,,,,,,,,,,
10/29/2019 16:00,202.92,5280920,,,,,,,,,,,,,,,
10/30/2019 16:00,203,5149038,,,,,,,,,,,,,,,
10/31/2019 16:00,201.02,5243315,,,,,,,,,,,,,,,
11/1/2019 16:00,202.59,7090956,,,,,,,,,,,,,,,
11/4/2019 16:00,210.5,9417905,,,,,,,,,,,,,,,
11/5/2019 16:00,209.61,7521712,,,,,,,,,,,,,,,
11/6/2019 16:00,207.63,6725335,,,,,,,,,,,,,,,
11/7/2019 16:00,208.34,7008498,,,,,,,,,,,,,,,
11/8/2019 16:00,207.78,4735187,,,,,,,,,,,,,,,
11/11/2019 16:00,208.18,6094736,,,,,,,,,,,,,,,
11/12/2019 16:00,209.61,7095971,,,,,,,,,,,,,,,
11/13/2019 16:00,208.57,7559124,,,,,,,,,,,,,,,
11/14/2019 16:00,209.79,13175171,,,,,,,,,,,,,,,
11/15/2019 16:00,204.19,26355409,,,,,,,,,,,,,,,
11/18/2019 16:00,212.28,14382963,,,,,,,,,,,,,,,
11/19/2019 16:00,207.99,10384506,,,,,,,,,,,,,,,
11/20/2019 16:00,211.18,11825438,,,,,,,,,,,,,,,
11/21/2019 16:00,210.18,7209730,,,,,,,,,,,,,,,
11/22/2019 16:00,210.89,5602470,,,,,,,,,,,,,,,
11/25/2019 16:00,221.21,12683686,,,,,,,,,,,,,,,
11/26/2019 16:00,217,9642023,,,,,,,,,,,,,,,
11/27/2019 16:00,218.24,5410718,,,,,,,,,,,,,,,
11/29/2019 13:00,216.74,3538924,,,,,,,,,,,,,,,
12/2/2019 16:00,209.25,9346742,,,,,,,,,,,,,,,
12/3/2019 16:00,207.66,11853653,,,,,,,,,,,,,,,
12/4/2019 16:00,209.42,6840459,,,,,,,,,,,,,,,
12/5/2019 16:00,208.74,4628444,,,,,,,,,,,,,,,
12/6/2019 16:00,212.17,5810457,,,,,,,,,,,,,,,
12/9/2019 16:00,212.17,5378320,,,,,,,,,,,,,,,
12/10/2019 16:00,213.98,6417228,,,,,,,,,,,,,,,
12/11/2019 16:00,217.34,5850247,,,,,,,,,,,,,,,
12/12/2019 16:00,224.07,10152084,,,,,,,,,,,,,,,
12/13/2019 16:00,223.99,11374183,,,,,,,,,,,,,,,
12/16/2019 16:00,225.15,8032684,,,,,,,,,,,,,,,
12/17/2019 16:00,228.29,8081598,,,,,,,,,,,,,,,
12/18/2019 16:00,229.51,8606969,,,,,,,,,,,,,,,
12/19/2019 16:00,235.46,11327674,,,,,,,,,,,,,,,
12/20/2019 16:00,239.37,15084607,,,,,,,,,,,,,,,
12/23/2019 16:00,238.82,8884815,,,,,,,,,,,,,,,
12/24/2019 13:00,238.62,3471597,,,,,,,,,,,,,,,
12/26/2019 16:00,239.19,4580451,,,,,,,,,,,,,,,
12/27/2019 16:00,236.87,6370251,,,,,,,,,,,,,,,
12/30/2019 16:00,232.32,6456178,,,,,,,,,,,,,,,
12/31/2019 16:00,235.3,5780283,,,,,,,,,,,,,,,
1/2/2020 16:00,239.91,5941969,,,,,,,,,,,,,,,
1/3/2020 16:00,236.07,5144308,,,,,,,,,,,,,,,
1/6/2020 16:00,237.06,6572812,,,,,,,,,,,,,,,
1/7/2020 16:00,239.93,7980144,,,,,,,,,,,,,,,
1/8/2020 16:00,240.38,6931017,,,,,,,,,,,,,,,
1/9/2020 16:00,243.02,6386053,,,,,,,,,,,,,,,
1/10/2020 16:00,244.32,7911560,,,,,,,,,,,,,,,
1/13/2020 16:00,251.98,8008451,,,,,,,,,,,,,,,
1/14/2020 16:00,247.28,8989483,,,,,,,,,,,,,,,
1/15/2020 16:00,245.57,6577636,,,,,,,,,,,,,,,
1/16/2020 16:00,248.93,7104791,,,,,,,,,,,,,,,
1/17/2020 16:00,249.28,6344764,,,,,,,,,,,,,,,
1/21/2020 16:00,247.94,5447925,,,,,,,,,,,,,,,
1/22/2020 16:00,250.05,5980967,,,,,,,,,,,,,,,
1/23/2020 16:00,252.86,6112861,,,,,,,,,,,,,,,
1/24/2020 16:00,250.48,9337839,,,,,,,,,,,,,,,
1/27/2020 16:00,240.2,11763354,,,,,,,,,,,,,,,
1/28/2020 16:00,247.97,7774401,,,,,,,,,,,,,,,
1/29/2020 16:00,245.54,6486279,,,,,,,,,,,,,,,
1/30/2020 16:00,245.81,7262590,,,,,,,,,,,,,,,
1/31/2020 16:00,236.43,9260493,,,,,,,,,,,,,,,
2/3/2020 16:00,240.33,6398205,,,,,,,,,,,,,,,
2/4/2020 16:00,247.13,6788589,,,,,,,,,,,,,,,
2/5/2020 16:00,250.76,5205502,,,,,,,,,,,,,,,
2/6/2020 16:00,254.25,5457051,,,,,,,,,,,,,,,
2/7/2020 16:00,251.59,4743803,,,,,,,,,,,,,,,
2/10/2020 16:00,262.97,13240194,,,,,,,,,,,,,,,
2/11/2020 16:00,267.89,15963922,,,,,,,,,,,,,,,
2/12/2020 16:00,272.54,9366118,,,,,,,,,,,,,,,
2/13/2020 16:00,270.78,13200384,,,,,,,,,,,,,,,
2/14/2020 16:00,289.79,26048093,,,,,,,,,,,,,,,
2/18/2020 16:00,296.57,15547025,,,,,,,,,,,,,,,
2/19/2020 16:00,314.7,17358281,,,,,,,,,,,,,,,
2/20/2020 16:00,308.7,20251259,,,,,,,,,,,,,,,
2/21/2020 16:00,294.07,19232331,,,,,,,,,,,,,,,
2/24/2020 16:00,273.28,21422873,,,,,,,,,,,,,,,
2/25/2020 16:00,262.05,26387442,,,,,,,,,,,,,,,
2/26/2020 16:00,267.65,18741536,,,,,,,,,,,,,,,
2/27/2020 16:00,252.6,22660373,,,,,,,,,,,,,,,
2/28/2020 16:00,270.07,28366882,,,,,,,,,,,,,,,
3/2/2020 16:00,276.43,22268639,,,,,,,,,,,,,,,
3/3/2020 16:00,265.89,16319828,,,,,,,,,,,,,,,
3/4/2020 16:00,284.51,14935184,,,,,,,,,,,,,,,
3/5/2020 16:00,273.29,13508187,,,,,,,,,,,,,,,
3/6/2020 16:00,266.04,12885307,,,,,,,,,,,,,,,
3/9/2020 16:00,245.44,15353960,,,,,,,,,,,,,,,
3/10/2020 16:00,261.08,14516218,,,,,,,,,,,,,,,
3/11/2020 16:00,246.47,12551693,,,,,,,,,,,,,,,
3/12/2020 16:00,216.31,20413535,,,,,,,,,,,,,,,
3/13/2020 16:00,240.84,15870943,,,,,,,,,,,,,,,
3/16/2020 16:00,196.4,18174303,,,,,,,,,,,,,,,
3/17/2020 16:00,217.27,20840799,,,,,,,,,,,,,,,
3/18/2020 16:00,202.82,21856657,,,,,,,,,,,,,,,
3/19/2020 16:00,212.97,19137847,,,,,,,,,,,,,,,
3/20/2020 16:00,205.75,20115854,,,,,,,,,,,,,,,
3/23/2020 16:00,212.69,16096866,,,,,,,,,,,,,,,
3/24/2020 16:00,249.18,27541095,,,,,,,,,,,,,,,
3/25/2020 16:00,245.62,19835767,,,,,,,,,,,,,,,
3/26/2020 16:00,245.62,176637,,,,,,,,,,,,,,,
3/27/2020 16:00,252.73,15970744,,,,,,,,,,,,,,,
3/30/2020 16:00,265.59,15056253,,,,,,,,,,,,,,,
3/31/2020 16:00,263.6,23749014,,,,,,,,,,,,,,,
4/1/2020 16:00,243.07,16422828,,,,,,,,,,,,,,,
4/2/2020 16:00,255.47,16894113,,,,,,,,,,,,,,,
4/3/2020 16:00,243.91,16580346,,,,,,,,,,,,,,,
4/6/2020 16:00,268.4,18197062,,,,,,,,,,,,,,,
4/7/2020 16:00,259.03,19613047,,,,,,,,,,,,,,,
4/8/2020 16:00,266.95,13561113,,,,,,,,,,,,,,,
4/9/2020 16:00,262.95,13156195,,,,,,,,,,,,,,,
4/13/2020 16:00,269.85,9960182,,,,,,,,,,,,,,,
4/14/2020 16:00,283.95,13273667,,,,,,,,,,,,,,,
4/15/2020 16:00,280.84,9153721,,,,,,,,,,,,,,,
4/16/2020 16:00,294.7,18640510,,,,,,,,,,,,,,,
4/17/2020 16:00,292.32,13478049,,,,,,,,,,,,,,,
4/20/2020 16:00,287.05,11234705,,,,,,,,,,,,,,,
4/21/2020 16:00,269.51,18378996,,,,,,,,,,,,,,,
4/22/2020 16:00,286.15,12118228,,,,,,,,,,,,,,,
4/23/2020 16:00,284.01,10603988,,,,,,,,,,,,,,,
4/24/2020 16:00,289.59,8816137,,,,,,,,,,,,,,,
4/27/2020 16:00,297.08,11984699,,,,,,,,,,,,,,,
4/28/2020 16:00,291.36,11072603,,,,,,,,,,,,,,,
4/29/2020 16:00,298.46,9479047,,,,,,,,,,,,,,,
4/30/2020 16:00,292.28,9397943,,,,,,,,,,,,,,,
5/1/2020 16:00,282.78,8552445,,,,,,,,,,,,,,,
5/4/2020 16:00,291.29,7938880,,,,,,,,,,,,,,,
5/5/2020 16:00,293.74,9222391,,,,,,,,,,,,,,,
5/6/2020 16:00,297.79,8086639,,,,,,,,,,,,,,,
5/7/2020 16:00,304.87,9343263,,,,,,,,,,,,,,,
5/8/2020 16:00,312.5,8497678,,,,,,,,,,,,,,,
5/11/2020 16:00,322.62,11726504,,,,,,,,,,,,,,,
5/12/2020 16:00,312.1,12326482,,,,,,,,,,,,,,,
5/13/2020 16:00,311.2,15646252,,,,,,,,,,,,,,,
5/14/2020 16:00,321.22,15057809,,,,,,,,,,,,,,,
5/15/2020 16:00,339.63,24691543,,,,,,,,,,,,,,,
5/18/2020 16:00,350.01,19410086,,,,,,,,,,,,,,,
