,PDD,
,Closing Price,Volume
8/7/2019 16:00,22.13,4181559
8/8/2019 16:00,22.81,4332481
8/9/2019 16:00,22.6,5497002
8/12/2019 16:00,22.36,5578039
8/13/2019 16:00,23.78,7279089
8/14/2019 16:00,23.56,4818693
8/15/2019 16:00,23.87,4911419
8/16/2019 16:00,25.01,7496148
8/19/2019 16:00,25.57,7265341
8/20/2019 16:00,25.96,10784340
8/21/2019 16:00,30.11,42238412
8/22/2019 16:00,30.59,20527852
8/23/2019 16:00,29.49,11150581
8/26/2019 16:00,30.61,8921197
8/27/2019 16:00,30.87,7329734
8/28/2019 16:00,30.93,9671792
8/29/2019 16:00,33.61,15964578
8/30/2019 16:00,32.77,8084712
9/3/2019 16:00,33.25,7293116
9/4/2019 16:00,34,6748999
9/5/2019 16:00,34.87,4860269
9/6/2019 16:00,34.98,7478209
9/9/2019 16:00,34.98,5788327
9/10/2019 16:00,34.85,5620383
9/11/2019 16:00,36.67,6534204
9/12/2019 16:00,36.16,6520453
9/13/2019 16:00,35.9,4994110
9/16/2019 16:00,34.73,7215282
9/17/2019 16:00,35.43,5927940
9/18/2019 16:00,34.37,6987467
9/19/2019 16:00,34.62,5109777
9/20/2019 16:00,34.08,6618207
9/23/2019 16:00,33.82,5839989
9/24/2019 16:00,30.99,21279072
9/25/2019 16:00,32.25,15434711
9/26/2019 16:00,32.65,6859553
9/27/2019 16:00,31.28,15985077
9/30/2019 16:00,32.22,6584660
10/1/2019 16:00,32.75,4403263
10/2/2019 16:00,32.59,5002866
10/3/2019 16:00,32.95,2985464
10/4/2019 16:00,33.35,3457284
10/7/2019 16:00,31.67,7228267
10/8/2019 16:00,31.25,4794285
10/9/2019 16:00,31.78,3270856
10/10/2019 16:00,31.94,3030298
10/11/2019 16:00,32.86,5383090
10/14/2019 16:00,32.84,2815916
10/15/2019 16:00,33.94,5961455
10/16/2019 16:00,33.74,2964963
10/17/2019 16:00,34.2,3638869
10/18/2019 16:00,33.38,4600649
10/21/2019 16:00,34,3527931
10/22/2019 16:00,34.37,5342479
10/23/2019 16:00,35.5,4913817
10/24/2019 16:00,39.96,17608504
10/25/2019 16:00,40.84,13138278
10/28/2019 16:00,42.58,7177179
10/29/2019 16:00,40.5,7195993
10/30/2019 16:00,40.88,4975231
10/31/2019 16:00,40.88,5855985
11/1/2019 16:00,41.49,5673820
11/4/2019 16:00,42.53,6707081
11/5/2019 16:00,43.53,7066218
11/6/2019 16:00,43.49,6516067
11/7/2019 16:00,43.31,4819812
11/8/2019 16:00,43.23,4520221
11/11/2019 16:00,41.92,6269796
11/12/2019 16:00,41.57,4074535
11/13/2019 16:00,41.69,4252182
11/14/2019 16:00,41.32,4478373
11/15/2019 16:00,42.76,6443359
11/18/2019 16:00,41.51,8176695
11/19/2019 16:00,40.72,9542658
11/20/2019 16:00,31.4,53943748
11/21/2019 16:00,31.58,15973815
11/22/2019 16:00,33.99,18979304
11/25/2019 16:00,36.52,19080962
11/26/2019 16:00,36.98,10320410
11/27/2019 16:00,35.86,7359390
11/29/2019 13:00,35.95,3424693
12/2/2019 16:00,36.04,4865178
12/3/2019 16:00,36.17,4410138
12/4/2019 16:00,35.85,5784923
12/5/2019 16:00,36.58,5095126
12/6/2019 16:00,37.52,4023345
12/9/2019 16:00,37.52,4276733
12/10/2019 16:00,38.13,3434154
12/11/2019 16:00,37.31,4034444
12/12/2019 16:00,38.09,3323872
12/13/2019 16:00,36.46,5731316
12/16/2019 16:00,38.68,4774409
12/17/2019 16:00,38.71,3864421
12/18/2019 16:00,37.72,4828047
12/19/2019 16:00,37.52,3605308
12/20/2019 16:00,37.36,3584546
12/23/2019 16:00,37.89,2693138
12/24/2019 13:00,38.04,1814670
12/26/2019 16:00,38.57,2353297
12/27/2019 16:00,39.24,3687123
12/30/2019 16:00,38.15,3017111
12/31/2019 16:00,37.82,1963536
1/2/2020 16:00,41.23,9296087
1/3/2020 16:00,40.89,4870429
1/6/2020 16:00,40.09,4247573
1/7/2020 16:00,41.21,4842387
1/8/2020 16:00,40.5,5285223
1/9/2020 16:00,39.66,5648601
1/10/2020 16:00,38.42,10212547
1/13/2020 16:00,39.35,5542346
1/14/2020 16:00,38.02,10491276
1/15/2020 16:00,38.67,6682672
1/16/2020 16:00,39.51,6201051
1/17/2020 16:00,39.43,4863916
1/21/2020 16:00,39.34,4992195
1/22/2020 16:00,38.86,4776857
1/23/2020 16:00,38.37,5169364
1/24/2020 16:00,37.34,5301877
1/27/2020 16:00,36.59,7780108
1/28/2020 16:00,36.96,3040630
1/29/2020 16:00,36.74,1679616
1/30/2020 16:00,35.93,7195842
1/31/2020 16:00,35.22,4919030
2/3/2020 16:00,35.79,7039101
2/4/2020 16:00,36.51,6504281
2/5/2020 16:00,35.72,4952994
2/6/2020 16:00,36.38,5644025
2/7/2020 16:00,34.28,10138767
2/10/2020 16:00,34.5,11215608
2/11/2020 16:00,36,8975050
2/12/2020 16:00,36.81,5151952
2/13/2020 16:00,37.42,6320144
2/14/2020 16:00,37.12,4137624
2/18/2020 16:00,36.44,6621501
2/19/2020 16:00,37.13,4194657
2/20/2020 16:00,36.32,5855585
2/21/2020 16:00,34.57,11404503
2/24/2020 16:00,33.14,15338239
2/25/2020 16:00,32.8,12772638
2/26/2020 16:00,34.53,9453126
2/27/2020 16:00,35.18,13402080
2/28/2020 16:00,35.78,7468604
3/2/2020 16:00,37.51,9240311
3/3/2020 16:00,35.79,6544880
3/4/2020 16:00,36.29,5476673
3/5/2020 16:00,36.12,8622447
3/6/2020 16:00,36.76,7009142
3/9/2020 16:00,36.51,9547501
3/10/2020 16:00,37.69,13048060
3/11/2020 16:00,35.06,19562642
3/12/2020 16:00,32.81,13354486
3/13/2020 16:00,33.76,9429575
3/16/2020 16:00,32.19,8836350
3/17/2020 16:00,33.39,6050946
3/18/2020 16:00,31.77,6655381
3/19/2020 16:00,33.8,7070303
3/20/2020 16:00,33.57,6836495
3/23/2020 16:00,34.1,5547155
3/24/2020 16:00,36.05,6223022
3/25/2020 16:00,37.26,8268215
3/26/2020 16:00,37.01,6215024
3/27/2020 16:00,35.32,11250393
3/30/2020 16:00,35.63,7140109
3/31/2020 16:00,36.03,9931734
4/1/2020 16:00,35.9,9897258
4/2/2020 16:00,36.28,7576249
4/3/2020 16:00,36.9,7498021
4/6/2020 16:00,38.49,7970778
4/7/2020 16:00,40.63,11648411
4/8/2020 16:00,39.71,6820556
4/9/2020 16:00,41.04,7673054
4/13/2020 16:00,41.42,4847495
4/14/2020 16:00,43.03,6797037
4/15/2020 16:00,43.89,5098384
4/16/2020 16:00,45.12,8685382
4/17/2020 16:00,44.46,9363255
4/20/2020 16:00,50.11,18304594
4/21/2020 16:00,50.94,11537757
4/22/2020 16:00,52.15,8837041
4/23/2020 16:00,49.17,8326360
4/24/2020 16:00,49.57,4514840
4/27/2020 16:00,51.19,4717569
4/28/2020 16:00,48.06,6675599
4/29/2020 16:00,48.86,4901035
4/30/2020 16:00,47.44,4776970
5/1/2020 16:00,45.43,5553301
5/4/2020 16:00,46.37,4830902
5/5/2020 16:00,48.72,9004922
5/6/2020 16:00,49.2,4172249
5/7/2020 16:00,50.05,4682762
5/8/2020 16:00,54.6,7446419
5/11/2020 16:00,54.94,4830142
5/12/2020 16:00,57.83,11057332
5/13/2020 16:00,59.83,10451572
5/14/2020 16:00,60.84,6802171
5/15/2020 16:00,61.3,7098483
5/18/2020 16:00,66.46,7802370
5/19/2020 16:00,63.09,9726052
5/20/2020 16:00,60.9,12679880
5/21/2020 16:00,60,12113170
5/22/2020 16:00,68.7,25121022
5/26/2020 16:00,64.89,17196390
5/27/2020 16:00,60.32,8977551
5/28/2020 16:00,60.36,7405579
5/29/2020 16:00,66.87,15504652
6/1/2020 16:00,65.76,6250021
