Company,Ticker,,,,,,,,,,,,,,,,,,,
Nvidia Corporation,NVDA,,End,1/8/21,,,,,,,,,,,,,,,,
Pinduoduo Inc,PDD,,Start,1/8/19,,,,,,,,,,,,,,,,
Netflix Inc,NFLX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NVDA,,PDD,,NFLX,,,,,,,,,,,,,,,
,Closing Price,Volume,Closing Price,Volume,Closing Price,Volume,,,,,,,,,,,,,,
1/8/2019 16:00:00,139.83,19650429,24,3355000,320.27,15359180,,,Closing Prices,,,,,,Closing Prices,,,,,
1/9/2019 16:00:00,142.58,15431475,25.54,7322212,319.96,13343152,,,NVDA,,PDD,,NFLX,,NVDA,,PDD,,NFLX,
1/10/2019 16:00:00,145.23,13078906,26.38,4956502,324.66,13472475,,,Date,Close,Date,Close,Date,Close,Date,Volume,Date,Volume,Date,Volume
1/25/2019 16:00:00,160.15,28880547,29.5,5515774,338.05,11166609,,,1/22/2019 16:00:00,148.77,1/22/2019 16:00:00,25.17,1/22/2019 16:00:00,325.16,1/22/2019 16:00:00,16538776,1/22/2019 16:00:00,8955551,1/22/2019 16:00:00,17941416
1/28/2019 16:00:00,138.01,62788169,29,3325532,335.66,8652082,,,1/23/2019 16:00:00,149.29,1/23/2019 16:00:00,26.67,1/23/2019 16:00:00,321.99,1/23/2019 16:00:00,14775545,1/23/2019 16:00:00,6518319,1/23/2019 16:00:00,13480138
1/29/2019 16:00:00,131.6,28848347,30.19,5238224,328.9,7655189,,,1/24/2019 16:00:00,157.84,1/24/2019 16:00:00,28.74,1/24/2019 16:00:00,326.67,1/24/2019 16:00:00,17724261,1/24/2019 16:00:00,8310987,1/24/2019 16:00:00,11131627
1/30/2019 16:00:00,137.39,24355739,28.82,6661299,340.66,9234530,,,1/25/2019 16:00:00,160.15,1/25/2019 16:00:00,29.5,1/25/2019 16:00:00,338.05,1/25/2019 16:00:00,28880547,1/25/2019 16:00:00,5515774,1/25/2019 16:00:00,11166609
1/31/2019 16:00:00,143.75,21071338,29.21,3474160,339.5,8535517,,,1/28/2019 16:00:00,138.01,1/28/2019 16:00:00,29,1/28/2019 16:00:00,335.66,1/28/2019 16:00:00,62788169,1/28/2019 16:00:00,3325532,1/28/2019 16:00:00,8652082
2/1/2019 16:00:00,144.73,15626175,28.96,4183070,339.85,9827760,,,1/29/2019 16:00:00,131.6,1/29/2019 16:00:00,30.19,1/29/2019 16:00:00,328.9,1/29/2019 16:00:00,28848347,1/29/2019 16:00:00,5238224,1/29/2019 16:00:00,7655189
2/4/2019 16:00:00,149.18,13215018,29.93,2945241,351.34,9051387,,,1/30/2019 16:00:00,137.39,1/30/2019 16:00:00,28.82,1/30/2019 16:00:00,340.66,1/30/2019 16:00:00,24355739,1/30/2019 16:00:00,6661299,1/30/2019 16:00:00,9234530
2/5/2019 16:00:00,149.95,13560625,30.33,3097849,355.81,9046623,,,1/31/2019 16:00:00,143.75,1/31/2019 16:00:00,29.21,1/31/2019 16:00:00,339.5,1/31/2019 16:00:00,21071338,1/31/2019 16:00:00,3474160,1/31/2019 16:00:00,8535517
2/6/2019 16:00:00,153,17561647,28,9598162,352.19,6717662,,,2/1/2019 16:00:00,144.73,2/1/2019 16:00:00,28.96,2/1/2019 16:00:00,339.85,2/1/2019 16:00:00,15626175,2/1/2019 16:00:00,4183070,2/1/2019 16:00:00,9827760
2/7/2019 16:00:00,147.42,15928000,26.51,8968283,344.71,7864529,,,2/4/2019 16:00:00,149.18,2/4/2019 16:00:00,29.93,2/4/2019 16:00:00,351.34,2/4/2019 16:00:00,13215018,2/4/2019 16:00:00,2945241,2/4/2019 16:00:00,9051387
2/8/2019 16:00:00,148.17,11540137,25.95,32243959,347.57,7561391,,,2/5/2019 16:00:00,149.95,2/5/2019 16:00:00,30.33,2/5/2019 16:00:00,355.81,2/5/2019 16:00:00,13560625,2/5/2019 16:00:00,3097849,2/5/2019 16:00:00,9046623
2/11/2019 16:00:00,146.45,12379515,26.74,13342089,345.73,5454863,,,2/6/2019 16:00:00,153,2/6/2019 16:00:00,28,2/6/2019 16:00:00,352.19,2/6/2019 16:00:00,17561647,2/6/2019 16:00:00,9598162,2/6/2019 16:00:00,6717662
2/12/2019 16:00:00,151.17,14776513,26.95,8825522,359.97,10429399,,,2/7/2019 16:00:00,147.42,2/7/2019 16:00:00,26.51,2/7/2019 16:00:00,344.71,2/7/2019 16:00:00,15928000,2/7/2019 16:00:00,8968283,2/7/2019 16:00:00,7864529
2/13/2019 16:00:00,152.88,15134302,27.01,7691677,351.77,10559146,,,2/8/2019 16:00:00,148.17,2/8/2019 16:00:00,25.95,2/8/2019 16:00:00,347.57,2/8/2019 16:00:00,11540137,2/8/2019 16:00:00,32243959,2/8/2019 16:00:00,7561391
2/14/2019 16:00:00,154.53,20681574,27.03,3726985,359.07,9295338,,,2/11/2019 16:00:00,146.45,2/11/2019 16:00:00,26.74,2/11/2019 16:00:00,345.73,2/11/2019 16:00:00,12379515,2/11/2019 16:00:00,13342089,2/11/2019 16:00:00,5454863
2/15/2019 16:00:00,157.34,37918734,27.52,5253268,356.87,9229980,,,2/12/2019 16:00:00,151.17,2/12/2019 16:00:00,26.95,2/12/2019 16:00:00,359.97,2/12/2019 16:00:00,14776513,2/12/2019 16:00:00,8825522,2/12/2019 16:00:00,10429399
2/19/2019 16:00:00,156.64,13797316,29.09,8994135,361.92,7396559,,,2/13/2019 16:00:00,152.88,2/13/2019 16:00:00,27.01,2/13/2019 16:00:00,351.77,2/13/2019 16:00:00,15134302,2/13/2019 16:00:00,7691677,2/13/2019 16:00:00,10559146
2/20/2019 16:00:00,158.55,13524737,29.33,7401686,359.91,8110741,,,2/14/2019 16:00:00,154.53,2/14/2019 16:00:00,27.03,2/14/2019 16:00:00,359.07,2/14/2019 16:00:00,20681574,2/14/2019 16:00:00,3726985,2/14/2019 16:00:00,9295338
2/21/2019 16:00:00,155.77,11213668,28.5,5593251,356.97,6227897,,,2/15/2019 16:00:00,157.34,2/15/2019 16:00:00,27.52,2/15/2019 16:00:00,356.87,2/15/2019 16:00:00,37918734,2/15/2019 16:00:00,5253268,2/15/2019 16:00:00,9229980
2/22/2019 16:00:00,159.19,10043531,29.38,6594775,363.02,7088214,,,2/19/2019 16:00:00,156.64,2/19/2019 16:00:00,29.09,2/19/2019 16:00:00,361.92,2/19/2019 16:00:00,13797316,2/19/2019 16:00:00,8994135,2/19/2019 16:00:00,7396559
2/25/2019 16:00:00,158.69,16400481,29.01,10262421,363.91,7569320,,,2/20/2019 16:00:00,158.55,2/20/2019 16:00:00,29.33,2/20/2019 16:00:00,359.91,2/20/2019 16:00:00,13524737,2/20/2019 16:00:00,7401686,2/20/2019 16:00:00,8110741
2/26/2019 16:00:00,157.1,12211571,29.14,6047228,364.97,4944593,,,2/21/2019 16:00:00,155.77,2/21/2019 16:00:00,28.5,2/21/2019 16:00:00,356.97,2/21/2019 16:00:00,11213668,2/21/2019 16:00:00,5593251,2/21/2019 16:00:00,6227897
2/27/2019 16:00:00,155.41,12506381,28.56,5923495,362.87,5629945,,,2/22/2019 16:00:00,159.19,2/22/2019 16:00:00,29.38,2/22/2019 16:00:00,363.02,2/22/2019 16:00:00,10043531,2/22/2019 16:00:00,6594775,2/22/2019 16:00:00,7088214
2/28/2019 16:00:00,154.26,8123565,29.94,27783265,358.1,6186763,,,2/25/2019 16:00:00,158.69,2/25/2019 16:00:00,29.01,2/25/2019 16:00:00,363.91,2/25/2019 16:00:00,16400481,2/25/2019 16:00:00,10262421,2/25/2019 16:00:00,7569320
3/1/2019 16:00:00,156.45,8929678,29.99,6119836,357.32,5526539,,,2/26/2019 16:00:00,157.1,2/26/2019 16:00:00,29.14,2/26/2019 16:00:00,364.97,2/26/2019 16:00:00,12211571,2/26/2019 16:00:00,6047228,2/26/2019 16:00:00,4944593
3/4/2019 16:00:00,156.78,10249750,31.14,8554529,351.04,7486996,,,2/27/2019 16:00:00,155.41,2/27/2019 16:00:00,28.56,2/27/2019 16:00:00,362.87,2/27/2019 16:00:00,12506381,2/27/2019 16:00:00,5923495,2/27/2019 16:00:00,5629945
3/5/2019 16:00:00,156.52,9073119,30.78,4668875,354.3,5937754,,,2/28/2019 16:00:00,154.26,2/28/2019 16:00:00,29.94,2/28/2019 16:00:00,358.1,2/28/2019 16:00:00,8123565,2/28/2019 16:00:00,27783265,2/28/2019 16:00:00,6186763
3/6/2019 16:00:00,152.05,10088149,29.99,5749023,359.61,6211895,,,3/1/2019 16:00:00,156.45,3/1/2019 16:00:00,29.99,3/1/2019 16:00:00,357.32,3/1/2019 16:00:00,8929678,3/1/2019 16:00:00,6119836,3/1/2019 16:00:00,5526539
3/7/2019 16:00:00,149.26,11252633,29.09,5208837,352.6,6151331,,,3/4/2019 16:00:00,156.78,3/4/2019 16:00:00,31.14,3/4/2019 16:00:00,351.04,3/4/2019 16:00:00,10249750,3/4/2019 16:00:00,8554529,3/4/2019 16:00:00,7486996
3/8/2019 16:00:00,150.64,10560371,28.46,4882410,349.6,6898838,,,3/5/2019 16:00:00,156.52,3/5/2019 16:00:00,30.78,3/5/2019 16:00:00,354.3,3/5/2019 16:00:00,9073119,3/5/2019 16:00:00,4668875,3/5/2019 16:00:00,5937754
3/11/2019 16:00:00,161.14,21493150,29.93,8469411,358.86,5387285,,,3/6/2019 16:00:00,152.05,3/6/2019 16:00:00,29.99,3/6/2019 16:00:00,359.61,3/6/2019 16:00:00,10088149,3/6/2019 16:00:00,5749023,3/6/2019 16:00:00,6211895
3/12/2019 16:00:00,162.52,14489368,30.43,10569737,356.27,5164571,,,3/7/2019 16:00:00,149.26,3/7/2019 16:00:00,29.09,3/7/2019 16:00:00,352.6,3/7/2019 16:00:00,11252633,3/7/2019 16:00:00,5208837,3/7/2019 16:00:00,6151331
3/13/2019 16:00:00,168.62,19222518,25.12,56122139,361.21,6444092,,,3/8/2019 16:00:00,150.64,3/8/2019 16:00:00,28.46,3/8/2019 16:00:00,349.6,3/8/2019 16:00:00,10560371,3/8/2019 16:00:00,4882410,3/8/2019 16:00:00,6898838
3/14/2019 16:00:00,165.56,12984630,24.39,15930747,358.82,5271429,,,3/11/2019 16:00:00,161.14,3/11/2019 16:00:00,29.93,3/11/2019 16:00:00,358.86,3/11/2019 16:00:00,21493150,3/11/2019 16:00:00,8469411,3/11/2019 16:00:00,5387285
3/15/2019 16:00:00,169.81,16536482,24.52,14894738,361.46,8443210,,,3/12/2019 16:00:00,162.52,3/12/2019 16:00:00,30.43,3/12/2019 16:00:00,356.27,3/12/2019 16:00:00,14489368,3/12/2019 16:00:00,10569737,3/12/2019 16:00:00,5164571
3/18/2019 16:00:00,168.95,12174829,25.83,13886832,363.44,7194726,,,3/13/2019 16:00:00,168.62,3/13/2019 16:00:00,25.12,3/13/2019 16:00:00,361.21,3/13/2019 16:00:00,19222518,3/13/2019 16:00:00,56122139,3/13/2019 16:00:00,6444092
3/19/2019 16:00:00,175.71,21374310,25.26,12704345,358.78,7541425,,,3/14/2019 16:00:00,165.56,3/14/2019 16:00:00,24.39,3/14/2019 16:00:00,358.82,3/14/2019 16:00:00,12984630,3/14/2019 16:00:00,15930747,3/14/2019 16:00:00,5271429
3/20/2019 16:00:00,174.4,17978715,24.61,10836212,375.22,10917165,,,3/15/2019 16:00:00,169.81,3/15/2019 16:00:00,24.52,3/15/2019 16:00:00,361.46,3/15/2019 16:00:00,16536482,3/15/2019 16:00:00,14894738,3/15/2019 16:00:00,8443210
3/21/2019 16:00:00,183.94,20607767,24.83,5450873,377.87,8544017,,,3/18/2019 16:00:00,168.95,3/18/2019 16:00:00,25.83,3/18/2019 16:00:00,363.44,3/18/2019 16:00:00,12174829,3/18/2019 16:00:00,13886832,3/18/2019 16:00:00,7194726
3/22/2019 16:00:00,177.5,18691087,23.5,10020726,361.01,8661346,,,3/19/2019 16:00:00,175.71,3/19/2019 16:00:00,25.26,3/19/2019 16:00:00,358.78,3/19/2019 16:00:00,21374310,3/19/2019 16:00:00,12704345,3/19/2019 16:00:00,7541425
3/25/2019 16:00:00,173.78,13130301,23.34,5595867,366.23,8473845,,,3/20/2019 16:00:00,174.4,3/20/2019 16:00:00,24.61,3/20/2019 16:00:00,375.22,3/20/2019 16:00:00,17978715,3/20/2019 16:00:00,10836212,3/20/2019 16:00:00,10917165
3/26/2019 16:00:00,176.87,17587678,23.36,4476546,359.97,7666475,,,3/21/2019 16:00:00,183.94,3/21/2019 16:00:00,24.83,3/21/2019 16:00:00,377.87,3/21/2019 16:00:00,20607767,3/21/2019 16:00:00,5450873,3/21/2019 16:00:00,8544017
3/27/2019 16:00:00,176.5,11859294,23.61,5092408,353.37,7852370,,,3/22/2019 16:00:00,177.5,3/22/2019 16:00:00,23.5,3/22/2019 16:00:00,361.01,3/22/2019 16:00:00,18691087,3/22/2019 16:00:00,10020726,3/22/2019 16:00:00,8661346
3/28/2019 16:00:00,177.25,12006602,23.32,5364727,354.61,4360960,,,3/25/2019 16:00:00,173.78,3/25/2019 16:00:00,23.34,3/25/2019 16:00:00,366.23,3/25/2019 16:00:00,13130301,3/25/2019 16:00:00,5595867,3/25/2019 16:00:00,8473845
3/29/2019 16:00:00,179.56,11422379,24.8,10945272,356.56,4705636,,,3/26/2019 16:00:00,176.87,3/26/2019 16:00:00,23.36,3/26/2019 16:00:00,359.97,3/26/2019 16:00:00,17587678,3/26/2019 16:00:00,4476546,3/26/2019 16:00:00,7666475
4/1/2019 16:00:00,182.28,12095612,24.67,7601669,366.96,7036097,,,3/27/2019 16:00:00,176.5,3/27/2019 16:00:00,23.61,3/27/2019 16:00:00,353.37,3/27/2019 16:00:00,11859294,3/27/2019 16:00:00,5092408,3/27/2019 16:00:00,7852370
4/2/2019 16:00:00,183,11022996,24.46,4058777,367.72,5158742,,,3/28/2019 16:00:00,177.25,3/28/2019 16:00:00,23.32,3/28/2019 16:00:00,354.61,3/28/2019 16:00:00,12006602,3/28/2019 16:00:00,5364727,3/28/2019 16:00:00,4360960
4/3/2019 16:00:00,188.62,19719468,23.51,12501450,369.75,5376623,,,3/29/2019 16:00:00,179.56,3/29/2019 16:00:00,24.8,3/29/2019 16:00:00,356.56,3/29/2019 16:00:00,11422379,3/29/2019 16:00:00,10945272,3/29/2019 16:00:00,4705636
4/4/2019 16:00:00,188.26,11434419,22.6,14264499,367.88,4627305,,,4/1/2019 16:00:00,182.28,4/1/2019 16:00:00,24.67,4/1/2019 16:00:00,366.96,4/1/2019 16:00:00,12095612,4/1/2019 16:00:00,7601669,4/1/2019 16:00:00,7036097
4/5/2019 16:00:00,190.95,12043649,21.6,19112167,365.49,3905493,,,4/2/2019 16:00:00,183,4/2/2019 16:00:00,24.46,4/2/2019 16:00:00,367.72,4/2/2019 16:00:00,11022996,4/2/2019 16:00:00,4058777,4/2/2019 16:00:00,5158742
4/8/2019 16:00:00,191.79,10604848,21.83,10407383,361.41,4653810,,,4/3/2019 16:00:00,188.62,4/3/2019 16:00:00,23.51,4/3/2019 16:00:00,369.75,4/3/2019 16:00:00,19719468,4/3/2019 16:00:00,12501450,4/3/2019 16:00:00,5376623
4/9/2019 16:00:00,189.26,10999320,22.35,5875205,364.71,5439228,,,4/4/2019 16:00:00,188.26,4/4/2019 16:00:00,22.6,4/4/2019 16:00:00,367.88,4/4/2019 16:00:00,11434419,4/4/2019 16:00:00,14264499,4/4/2019 16:00:00,4627305
4/10/2019 16:00:00,192.1,11119307,21.95,8009083,363.92,4545561,,,4/5/2019 16:00:00,190.95,4/5/2019 16:00:00,21.6,4/5/2019 16:00:00,365.49,4/5/2019 16:00:00,12043649,4/5/2019 16:00:00,19112167,4/5/2019 16:00:00,3905493
4/11/2019 16:00:00,191.54,9365037,21.67,3895645,367.65,6526899,,,4/8/2019 16:00:00,191.79,4/8/2019 16:00:00,21.83,4/8/2019 16:00:00,361.41,4/8/2019 16:00:00,10604848,4/8/2019 16:00:00,10407383,4/8/2019 16:00:00,4653810
4/12/2019 16:00:00,190.01,11792664,21.69,7697749,351.14,15646199,,,4/9/2019 16:00:00,189.26,4/9/2019 16:00:00,22.35,4/9/2019 16:00:00,364.71,4/9/2019 16:00:00,10999320,4/9/2019 16:00:00,5875205,4/9/2019 16:00:00,5439228
4/15/2019 16:00:00,184.7,11002345,22.01,6901720,348.87,8842344,,,4/10/2019 16:00:00,192.1,4/10/2019 16:00:00,21.95,4/10/2019 16:00:00,363.92,4/10/2019 16:00:00,11119307,4/10/2019 16:00:00,8009083,4/10/2019 16:00:00,4545561
4/16/2019 16:00:00,188.21,9874091,22.5,7201593,359.46,18740232,,,4/11/2019 16:00:00,191.54,4/11/2019 16:00:00,21.67,4/11/2019 16:00:00,367.65,4/11/2019 16:00:00,9365037,4/11/2019 16:00:00,3895645,4/11/2019 16:00:00,6526899
4/17/2019 16:00:00,187.29,8775068,23.02,5907345,354.74,18054101,,,4/12/2019 16:00:00,190.01,4/12/2019 16:00:00,21.69,4/12/2019 16:00:00,351.14,4/12/2019 16:00:00,11792664,4/12/2019 16:00:00,7697749,4/12/2019 16:00:00,15646199
4/18/2019 16:00:00,186.3,9524704,23.55,5208373,360.35,8353165,,,4/15/2019 16:00:00,184.7,4/15/2019 16:00:00,22.01,4/15/2019 16:00:00,348.87,4/15/2019 16:00:00,11002345,4/15/2019 16:00:00,6901720,4/15/2019 16:00:00,8842344
4/22/2019 16:00:00,188.47,6998388,24,5323748,377.34,11980534,,,4/16/2019 16:00:00,188.21,4/16/2019 16:00:00,22.5,4/16/2019 16:00:00,359.46,4/16/2019 16:00:00,9874091,4/16/2019 16:00:00,7201593,4/16/2019 16:00:00,18740232
4/23/2019 16:00:00,190.67,8671381,24.43,6073668,381.89,10089820,,,4/17/2019 16:00:00,187.29,4/17/2019 16:00:00,23.02,4/17/2019 16:00:00,354.74,4/17/2019 16:00:00,8775068,4/17/2019 16:00:00,5907345,4/17/2019 16:00:00,18054101
4/24/2019 16:00:00,191.17,7955120,23.94,6964564,374.23,6541872,,,4/18/2019 16:00:00,186.3,4/18/2019 16:00:00,23.55,4/18/2019 16:00:00,360.35,4/18/2019 16:00:00,9524704,4/18/2019 16:00:00,5208373,4/18/2019 16:00:00,8353165
4/25/2019 16:00:00,186.91,12482437,23.07,7138194,368.33,6255496,,,4/22/2019 16:00:00,188.47,4/22/2019 16:00:00,24,4/22/2019 16:00:00,377.34,4/22/2019 16:00:00,6998388,4/22/2019 16:00:00,5323748,4/22/2019 16:00:00,11980534
4/26/2019 16:00:00,178.09,21724729,21.92,13269600,374.85,5621901,,,4/23/2019 16:00:00,190.67,4/23/2019 16:00:00,24.43,4/23/2019 16:00:00,381.89,4/23/2019 16:00:00,8671381,4/23/2019 16:00:00,6073668,4/23/2019 16:00:00,10089820
4/29/2019 16:00:00,179.33,9797983,22.28,4429239,371.83,3821703,,,4/24/2019 16:00:00,191.17,4/24/2019 16:00:00,23.94,4/24/2019 16:00:00,374.23,4/24/2019 16:00:00,7955120,4/24/2019 16:00:00,6964564,4/24/2019 16:00:00,6541872
4/30/2019 16:00:00,181,9073040,22.23,4645327,370.54,3870095,,,4/25/2019 16:00:00,186.91,4/25/2019 16:00:00,23.07,4/25/2019 16:00:00,368.33,4/25/2019 16:00:00,12482437,4/25/2019 16:00:00,7138194,4/25/2019 16:00:00,6255496
5/1/2019 16:00:00,180.47,8857031,23.3,7310560,378.81,9257284,,,4/26/2019 16:00:00,178.09,4/26/2019 16:00:00,21.92,4/26/2019 16:00:00,374.85,4/26/2019 16:00:00,21724729,4/26/2019 16:00:00,13269600,4/26/2019 16:00:00,5621901
5/2/2019 16:00:00,183.19,9867135,23.13,4471925,379.06,5398167,,,4/29/2019 16:00:00,179.33,4/29/2019 16:00:00,22.28,4/29/2019 16:00:00,371.83,4/29/2019 16:00:00,9797983,4/29/2019 16:00:00,4429239,4/29/2019 16:00:00,3821703
5/3/2019 16:00:00,183.01,8420587,23.96,4956936,385.03,5130301,,,4/30/2019 16:00:00,181,4/30/2019 16:00:00,22.23,4/30/2019 16:00:00,370.54,4/30/2019 16:00:00,9073040,4/30/2019 16:00:00,4645327,4/30/2019 16:00:00,3870095
5/6/2019 16:00:00,179.85,10554445,23.74,6698425,378.67,5793144,,,5/1/2019 16:00:00,180.47,5/1/2019 16:00:00,23.3,5/1/2019 16:00:00,378.81,5/1/2019 16:00:00,8857031,5/1/2019 16:00:00,7310560,5/1/2019 16:00:00,9257284
5/7/2019 16:00:00,173.11,13880458,22.82,5378229,370.46,6974924,,,5/2/2019 16:00:00,183.19,5/2/2019 16:00:00,23.13,5/2/2019 16:00:00,379.06,5/2/2019 16:00:00,9867135,5/2/2019 16:00:00,4471925,5/2/2019 16:00:00,5398167
5/8/2019 16:00:00,173.92,10479154,23.19,5858813,364.37,6571957,,,5/3/2019 16:00:00,183.01,5/3/2019 16:00:00,23.96,5/3/2019 16:00:00,385.03,5/3/2019 16:00:00,8420587,5/3/2019 16:00:00,4956936,5/3/2019 16:00:00,5130301
5/9/2019 16:00:00,170.19,16506164,23.13,6359694,362.75,5882572,,,5/6/2019 16:00:00,179.85,5/6/2019 16:00:00,23.74,5/6/2019 16:00:00,378.67,5/6/2019 16:00:00,10554445,5/6/2019 16:00:00,6698425,5/6/2019 16:00:00,5793144
5/10/2019 16:00:00,168.82,14237451,22.4,7946087,361.04,5657123,,,5/7/2019 16:00:00,173.11,5/7/2019 16:00:00,22.82,5/7/2019 16:00:00,370.46,5/7/2019 16:00:00,13880458,5/7/2019 16:00:00,5378229,5/7/2019 16:00:00,6974924
5/13/2019 16:00:00,158.45,16422819,20.75,13825990,345.26,8026697,,,5/8/2019 16:00:00,173.92,5/8/2019 16:00:00,23.19,5/8/2019 16:00:00,364.37,5/8/2019 16:00:00,10479154,5/8/2019 16:00:00,5858813,5/8/2019 16:00:00,6571957
5/14/2019 16:00:00,162.04,13121972,22.15,8332534,345.61,5353029,,,5/9/2019 16:00:00,170.19,5/9/2019 16:00:00,23.13,5/9/2019 16:00:00,362.75,5/9/2019 16:00:00,16506164,5/9/2019 16:00:00,6359694,5/9/2019 16:00:00,5882572
5/15/2019 16:00:00,159.58,12558001,22.03,6364588,354.99,6340118,,,5/10/2019 16:00:00,168.82,5/10/2019 16:00:00,22.4,5/10/2019 16:00:00,361.04,5/10/2019 16:00:00,14237451,5/10/2019 16:00:00,7946087,5/10/2019 16:00:00,5657123
5/16/2019 16:00:00,160.19,19527204,22.86,9291021,359.31,6441463,,,5/13/2019 16:00:00,158.45,5/13/2019 16:00:00,20.75,5/13/2019 16:00:00,345.26,5/13/2019 16:00:00,16422819,5/13/2019 16:00:00,13825990,5/13/2019 16:00:00,8026697
5/17/2019 16:00:00,156.53,25551698,22.7,10572598,354.45,4725448,,,5/14/2019 16:00:00,162.04,5/14/2019 16:00:00,22.15,5/14/2019 16:00:00,345.61,5/14/2019 16:00:00,13121972,5/14/2019 16:00:00,8332534,5/14/2019 16:00:00,5353029
5/20/2019 16:00:00,151.75,14301634,20.78,26784897,348.11,4621515,,,5/15/2019 16:00:00,159.58,5/15/2019 16:00:00,22.03,5/15/2019 16:00:00,354.99,5/15/2019 16:00:00,12558001,5/15/2019 16:00:00,6364588,5/15/2019 16:00:00,6340118
5/21/2019 16:00:00,155.06,9046247,21.52,8945169,354.27,4026369,,,5/16/2019 16:00:00,160.19,5/16/2019 16:00:00,22.86,5/16/2019 16:00:00,359.31,5/16/2019 16:00:00,19527204,5/16/2019 16:00:00,9291021,5/16/2019 16:00:00,6441463
5/22/2019 16:00:00,152.2,8146740,20.46,10456429,359.73,6229389,,,5/17/2019 16:00:00,156.53,5/17/2019 16:00:00,22.7,5/17/2019 16:00:00,354.45,5/17/2019 16:00:00,25551698,5/17/2019 16:00:00,10572598,5/17/2019 16:00:00,4725448
5/23/2019 16:00:00,147.32,14796109,20.53,8147184,352.21,5630443,,,5/20/2019 16:00:00,151.75,5/20/2019 16:00:00,20.78,5/20/2019 16:00:00,348.11,5/20/2019 16:00:00,14301634,5/20/2019 16:00:00,26784897,5/20/2019 16:00:00,4621515
5/24/2019 16:00:00,145.15,8939632,20.28,3124165,354.39,3830963,,,5/21/2019 16:00:00,155.06,5/21/2019 16:00:00,21.52,5/21/2019 16:00:00,354.27,5/21/2019 16:00:00,9046247,5/21/2019 16:00:00,8945169,5/21/2019 16:00:00,4026369
5/28/2019 16:00:00,143.33,10708852,20.23,7613559,354.78,4717144,,,5/22/2019 16:00:00,152.2,5/22/2019 16:00:00,20.46,5/22/2019 16:00:00,359.73,5/22/2019 16:00:00,8146740,5/22/2019 16:00:00,10456429,5/22/2019 16:00:00,6229389
5/29/2019 16:00:00,140.34,13995037,19.98,5740291,349.19,5658913,,,5/23/2019 16:00:00,147.32,5/23/2019 16:00:00,20.53,5/23/2019 16:00:00,352.21,5/23/2019 16:00:00,14796109,5/23/2019 16:00:00,8147184,5/23/2019 16:00:00,5630443
5/30/2019 16:00:00,139.11,9857490,19.65,4987497,351.85,4008042,,,5/24/2019 16:00:00,145.15,5/24/2019 16:00:00,20.28,5/24/2019 16:00:00,354.39,5/24/2019 16:00:00,8939632,5/24/2019 16:00:00,3124165,5/24/2019 16:00:00,3830963
5/31/2019 16:00:00,135.46,9742992,19.42,4569825,343.28,5023449,,,5/28/2019 16:00:00,143.33,5/28/2019 16:00:00,20.23,5/28/2019 16:00:00,354.78,5/28/2019 16:00:00,10708852,5/28/2019 16:00:00,7613559,5/28/2019 16:00:00,4717144
6/3/2019 16:00:00,133.78,11966080,19.03,6404796,336.63,7849589,,,5/29/2019 16:00:00,140.34,5/29/2019 16:00:00,19.98,5/29/2019 16:00:00,349.19,5/29/2019 16:00:00,13995037,5/29/2019 16:00:00,5740291,5/29/2019 16:00:00,5658913
6/4/2019 16:00:00,143,16045885,19.28,6081140,353.4,7891632,,,5/30/2019 16:00:00,139.11,5/30/2019 16:00:00,19.65,5/30/2019 16:00:00,351.85,5/30/2019 16:00:00,9857490,5/30/2019 16:00:00,4987497,5/30/2019 16:00:00,4008042
6/5/2019 16:00:00,141.28,12790385,19.13,3951560,355.73,5020081,,,5/31/2019 16:00:00,135.46,5/31/2019 16:00:00,19.42,5/31/2019 16:00:00,343.28,5/31/2019 16:00:00,9742992,5/31/2019 16:00:00,4569825,5/31/2019 16:00:00,5023449
6/6/2019 16:00:00,143.78,10203462,19.37,4101353,357.13,3709955,,,6/3/2019 16:00:00,133.78,6/3/2019 16:00:00,19.03,6/3/2019 16:00:00,336.63,6/3/2019 16:00:00,11966080,6/3/2019 16:00:00,6404796,6/3/2019 16:00:00,7849589
6/7/2019 16:00:00,145.5,8721438,19.78,3391691,360.87,4777321,,,6/4/2019 16:00:00,143,6/4/2019 16:00:00,19.28,6/4/2019 16:00:00,353.4,6/4/2019 16:00:00,16045885,6/4/2019 16:00:00,6081140,6/4/2019 16:00:00,7891632
6/10/2019 16:00:00,148.43,10069522,20.2,4995147,352.01,7810261,,,6/5/2019 16:00:00,141.28,6/5/2019 16:00:00,19.13,6/5/2019 16:00:00,355.73,6/5/2019 16:00:00,12790385,6/5/2019 16:00:00,3951560,6/5/2019 16:00:00,5020081
6/11/2019 16:00:00,150.75,9596751,20.05,4035524,351.27,5396712,,,6/6/2019 16:00:00,143.78,6/6/2019 16:00:00,19.37,6/6/2019 16:00:00,357.13,6/6/2019 16:00:00,10203462,6/6/2019 16:00:00,4101353,6/6/2019 16:00:00,3709955
6/12/2019 16:00:00,146.2,8972298,20.41,4362748,345.56,4584704,,,6/7/2019 16:00:00,145.5,6/7/2019 16:00:00,19.78,6/7/2019 16:00:00,360.87,6/7/2019 16:00:00,8721438,6/7/2019 16:00:00,3391691,6/7/2019 16:00:00,4777321
